,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
0,Tapada das Lebres Premium Regional Alentejano Vinho Tinto,3.99,garrafa 75 cl,70,premiado,https://www.continente.pt/produto/tapada-das-lebres-premium-regional-alentejano-vinho-tinto-tapada-das-lebres-5795289.html,5795289
1,Cancellus Premium DOC Douro Vinho Tinto,3.99,garrafa 75 cl,70,premiado,https://www.continente.pt/produto/cancellus-premium-doc-douro-vinho-tinto-cancellus-5717619.html,5717619
2,Muralhas de Monção DOC Vinho Verde Branco,4.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/muralhas-de-moncao-doc-vinho-verde-branco-muralhas-de-moncao-2050440.html,2050440
3,Mocho Galego Premium Regional Alentejano Vinho Tinto,3.49,garrafa 75 cl,65,premiado,https://www.continente.pt/produto/mocho-galego-premium-regional-alentejano-vinho-tinto-mocho-galego-6649896.html,6649896
4,Cartuxa DOC Alentejo Vinho Tinto,21.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cartuxa-doc-alentejo-vinho-tinto-cartuxa-5328645.html,5328645
5,Planalto Reserva DOC Douro Vinho Branco,5.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/planalto-reserva-doc-douro-vinho-branco-planalto-2050172.html,2050172
6,Coutada Velha Signature Regional Alentejano Vinho Tinto,6.49,garrafa 75 cl,65,premiado,https://www.continente.pt/produto/coutada-velha-signature-regional-alentejano-vinho-tinto-coutada-velha-6175042.html,6175042
7,n/a,16.97,n/a,n/a,n/a,https://www.continente.pt/produto/viagem-entre-regioes-de-vinho-branco-foodsograpeviagem.html,foodsograpeviagem
8,Mula Velha Reserva Regional Lisboa Vinho Tinto,3.29,garrafa 75 cl,60,premiado,https://www.continente.pt/produto/mula-velha-reserva-regional-lisboa-vinho-tinto-mula-velha-5400380.html,5400380
9,Monte Velho Regional Alentejano Vinho Tinto,3.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/monte-velho-regional-alentejano-vinho-tinto-monte-velho-2051005.html,2051005
10,Cancellus Premium DOC Douro Vinho Branco,3.99,garrafa 75 cl,70,premiado,https://www.continente.pt/produto/cancellus-premium-doc-douro-vinho-branco-cancellus-6016682.html,6016682
11,Guarda Rios Regional Alentejano Vinho Tinto,3.99,garrafa 75 cl,60,premiado,https://www.continente.pt/produto/guarda-rios-regional-alentejano-vinho-tinto-guarda-rios-5797470.html,5797470
12,Terra Lenta Premium DOC Alentejo Vinho Tinto,2.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/terra-lenta-premium-doc-alentejo-vinho-tinto-terra-lenta-5716081.html,5716081
13,Papa Figos DOC Douro Vinho Tinto,7.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/papa-figos-doc-douro-vinho-tinto-papa-figos-4952282.html,4952282
14,Cooperativa Agrícola Felgueiras DOC Vinho Verde Branco,2.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/cooperativa-agricola-felgueiras-doc-vinho-verde-branco-felgueiras-4086107.html,4086107
15,Monte dos Amigos Regional Alentejano Vinho Tinto,16.09,6 x garrafa 75 cl,55,premiado,https://www.continente.pt/produto/monte-dos-amigos-regional-alentejano-vinho-tinto-monte-dos-amigos-7743961.html,7743961
16,Pacheca Premium DOC Douro Vinho Branco,7.99,garrafa 75 cl,45,n/a,https://www.continente.pt/produto/pacheca-premium-doc-douro-vinho-branco-quinta-da-pacheca-7173883.html,7173883
17,EA Regional Alentejano Vinho Tinto,3.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/ea-regional-alentejano-vinho-tinto-ea-5331018.html,5331018
18,n/a,5.61,n/a,n/a,n/a,https://www.continente.pt/produto/vinho-rose-que-sabe-bem-com-a-vida-foodgazelarose.html,foodgazelarose
19,Albenaz Escadaria Maior Premium DOC Douro Vinho Tinto,3.89,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/albenaz-escadaria-maior-premium-doc-douro-vinho-tinto-albenaz-6526528.html,6526528
20,Mélange à Trois DOC Dão Vinho Tinto,5.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/melange-a-trois-doc-dao-vinho-tinto-quinta-dos-carvalhais-7016272.html,7016272
21,Vidigueira Premium DOC Alentejo Vinho Branco,3.99,garrafa 75 cl,60,premiado,https://www.continente.pt/produto/vidigueira-premium-doc-alentejo-vinho-branco-vidigueira-5796579.html,5796579
22,Esteva DOC Douro Vinho Tinto,5.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/esteva-doc-douro-vinho-tinto-esteva-2050435.html,2050435
