,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
0,Moet & Chandon Champanhe Brut Branco,46.59,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/moet-chandon-champanhe-brut-branco-moet-chandon-2050789.html,2050789
1,Terras do Demo Espumante DOC Távora-Varosa Branco Bruto,8.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/terras-do-demo-espumante-doc-tavora-varosa-branco-bruto-terras-do-demo-4731572.html,4731572
2,Moet & Chandon Champanhe Brut Rosé,58.79,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/moet-chandon-champanhe-brut-rose-moet-chandon-2365475.html,2365475
3,Murganheira Reserva Espumante DOC Távora-Varosa Branco Bruto,12.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-reserva-espumante-doc-tavora-varosa-branco-bruto-murganheira-4019167.html,4019167
4,Veuve Clicquot Yellow Champanhe Vintage Branco Bruto,56.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/veuve-clicquot-yellow-champanhe-vintage-branco-bruto-veuve-clicquot-5411462.html,5411462
5,Mionetto Espumante Prosecco Branco Bruto,9.79,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/mionetto-espumante-prosecco-branco-bruto-mionetto-7051161.html,7051161
6,Murganheira Super Reserva Espumante DOC Távora-Varosa Branco Bruto,14.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-super-reserva-espumante-doc-tavora-varosa-branco-bruto-murganheira-2051053.html,2051053
7,Gancia Espumante Asti Branco Doce,9.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/gancia-espumante-asti-branco-doce-gancia-2050443.html,2050443
8,Marquis de Sade Champagne Brut,39.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/marquis-de-sade-champagne-brut-marquis-de-sade-7656673.html,7656673
9,Terras do Demo Pinot Noir Reserva Blanc de Noir DOC Távora-Varosa Branco Bruto,12.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/terras-do-demo-pinot-noir-reserva-blanc-de-noir-doc-tavora-varosa-branco-bruto-terras-do-demo-7290500.html,7290500
10,Moet & Chandon Ice Imperial Champanhe Branco Bruto,64.10,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/moet-chandon-ice-imperial-champanhe-branco-bruto-moet-chandon-5427651.html,5427651
11,Freixenet Cordon Negro Espumante Branco Bruto,9.99,emb. 3 x 20 cl,n/a,n/a,https://www.continente.pt/produto/freixenet-cordon-negro-espumante-branco-bruto-freixenet-2231204.html,2231204
12,Terras do Demo Espumante Touriga Nacional DOC Távora-Varosa Rosé Bruto,8.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/terras-do-demo-espumante-touriga-nacional-doc-tavora-varosa-rose-bruto-terras-do-demo-5591811.html,5591811
13,Bellini Cipriani Espumante,18.95,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/bellini-cipriani-espumante-cipriani-7743517.html,7743517
14,Freixenet Cordon Negro Espumante Branco Cava Bruto,8.99,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/freixenet-cordon-negro-espumante-branco-cava-bruto-freixenet-4103421.html,4103421
15,São Domingos Millésime Espumante Doc Bairrada Branco Bruto,12.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/sao-domingos-millesime-espumante-doc-bairrada-branco-bruto-sao-domingos-7201815.html,7201815
16,Murganheira Espumante Reserva DOC Távora-Varosa Branco Doce,11.79,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-espumante-reserva-doc-tavora-varosa-branco-doce-murganheira-2051056.html,2051056
17,Murganheira Reserva Espumante DOC Távora-Varosa Branco Meio Seco,12.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-reserva-espumante-doc-tavora-varosa-branco-meio-seco-murganheira-2051055.html,2051055
18,Raposeira Super Reserva Espumante Doc Távora-Varosa Branco Bruto,8.79,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-super-reserva-espumante-doc-tavora-varosa-branco-bruto-raposeira-2873153.html,2873153
19,Villa de Corgos Espumante Cuvée Blanc de Blancs Regional Beira Atlântico Branco Bruto,7.19,garrafa 75 cl,40,premiado,https://www.continente.pt/produto/villa-de-corgos-espumante-cuvee-blanc-de-blancs-regional-beira-atlantico-branco-bruto-villa-de-corgos-6969685.html,6969685
20,Freixenet Espumante Blanc de Blancs Bruto Branco,6.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/freixenet-espumante-blanc-de-blancs-bruto-branco-freixenet-7740243.html,7740243
21,Raposeira Reserva Espumante Doc Távora-Varosa Branco Meio Seco,8.79,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/raposeira-reserva-espumante-doc-tavora-varosa-branco-meio-seco-raposeira-2050182.html,2050182
22,Murganheira Super Reserva Espumante DOC Távora-Varosa Branco Meio Seco,14.29,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/murganheira-super-reserva-espumante-doc-tavora-varosa-branco-meio-seco-murganheira-2051054.html,2051054
